salt,molality_mol_kg,gamma_pm_m_literature,gamma_pm_m_model,error,abs_error,parameter_fingerprint
LiCl,0.001,0.965,0.9650457003899517,4.5700389951774945e-05,4.5700389951774945e-05,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.002,0.952,0.9518748979454065,-0.00012510205459348445,0.00012510205459348445,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.005,0.928,0.9277852656030331,-0.0002147343969669535,0.0002147343969669535,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.01,0.904,0.9035923034044775,-0.0004076965955225331,0.0004076965955225331,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.02,0.874,0.8740653515240311,6.535152403108757e-05,6.535152403108757e-05,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.05,0.827,0.8288871405673457,0.0018871405673457353,0.0018871405673457353,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.1,0.789,0.7946261653669123,0.005626165366912295,0.005626165366912295,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.2,0.756,0.768290069709454,0.01229006970945401,0.01229006970945401,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.3,0.743,0.761389745001017,0.018389745001016977,0.018389745001016977,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.4,0.739,0.7627537801898541,0.02375378018985408,0.02375378018985408,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.5,0.739,0.7686659580218511,0.029665958021851124,0.029665958021851124,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.6,0.742,0.7774485406217634,0.03544854062176339,0.03544854062176339,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.7,0.748,0.7882126823387551,0.04021268233875508,0.04021268233875508,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.8,0.756,0.8004378371694832,0.04443783716948324,0.04443783716948324,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,0.9,0.765,0.813797503805329,0.04879750380532899,0.04879750380532899,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,1.0,0.775,0.8280765314626015,0.053076531462601495,0.053076531462601495,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,1.2,0.798,0.8588483011514485,0.06084830115144846,0.06084830115144846,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,1.4,0.825,0.8920207776388767,0.0670207776388767,0.0670207776388767,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,1.6,0.855,0.927212077444397,0.07221207744439706,0.07221207744439706,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,1.8,0.888,0.9642177907362663,0.07621779073626633,0.07621779073626633,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,2.0,0.924,1.0029316153376744,0.07893161533767434,0.07893161533767434,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,2.5,1.029,1.1069570633172192,0.0779570633172193,0.0779570633172193,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,3.0,1.157,1.221456812378879,0.0644568123788789,0.0644568123788789,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,3.5,1.312,1.347023987045295,0.03502398704529486,0.03502398704529486,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,4.0,1.499,1.4845021813550776,-0.0144978186449225,0.0144978186449225,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,4.5,1.726,1.6348640723067411,-0.09113592769325884,0.09113592769325884,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,5.0,2.0,1.7991625640714386,-0.2008374359285614,0.2008374359285614,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,5.5,2.33,1.9785092569458256,-0.3514907430541745,0.3514907430541745,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
LiCl,6.0,2.73,2.1740640750724145,-0.5559359249275855,0.5559359249275855,sha256:1bb528ebe8f5612757e148608fc55821f9fb03737dbcec6d0bc4fffd0f4cbc4c
NaCl,0.001,0.965,0.9648872201835806,-0.00011277981641932833,0.00011277981641932833,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.002,0.952,0.9515624780625322,-0.00043752193746771084,0.00043752193746771084,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.005,0.928,0.9270250494708165,-0.0009749505291835048,0.0009749505291835048,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.01,0.903,0.9021139642682977,-0.0008860357317023171,0.0008860357317023171,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.02,0.872,0.8712123978598636,-0.0007876021401364008,0.0007876021401364008,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.05,0.822,0.8221608098239066,0.0001608098239066491,0.0001608098239066491,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.1,0.779,0.7818241739740578,0.0028241739740577643,0.0028241739740577643,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.2,0.734,0.7438468250888537,0.009846825088853706,0.009846825088853706,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.3,0.709,0.7254760330730926,0.016476033073092644,0.016476033073092644,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.4,0.693,0.7153174606573488,0.022317460657348853,0.022317460657348853,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.5,0.681,0.7095595260105572,0.028559526010557112,0.028559526010557112,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.6,0.673,0.7064745963164085,0.03347459631640848,0.03347459631640848,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.7,0.667,0.7051445294830516,0.03814452948305158,0.03814452948305158,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.8,0.662,0.7050301054874691,0.043030105487469106,0.043030105487469106,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,0.9,0.659,0.705792078311554,0.046792078311553964,0.046792078311553964,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,1.0,0.657,0.7072060284768245,0.05020602847682443,0.05020602847682443,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,1.2,0.655,0.7114180789985723,0.05641807899857232,0.05641807899857232,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,1.4,0.656,0.7168889637341106,0.06088896373411057,0.06088896373411057,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,1.6,0.658,0.723199925196077,0.06519992519607698,0.06519992519607698,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,1.8,0.662,0.7301115575546956,0.06811155755469556,0.06811155755469556,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,2.0,0.668,0.7374817241838976,0.06948172418389753,0.06948172418389753,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,2.5,0.688,0.7574262536865035,0.06942625368650357,0.06942625368650357,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,3.0,0.714,0.7791281298520133,0.06512812985201333,0.06512812985201333,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,3.5,0.746,0.8024159675238833,0.05641596752388334,0.05641596752388334,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,4.0,0.783,0.8272780854359022,0.04427808543590217,0.04427808543590217,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,4.5,0.826,0.853753306506177,0.027753306506177022,0.027753306506177022,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,5.0,0.874,0.8818921081116797,0.00789210811167973,0.00789210811167973,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,5.5,0.928,0.9117427644408547,-0.016257235559145378,0.016257235559145378,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
NaCl,6.0,0.986,0.9433469051251676,-0.042653094874832376,0.042653094874832376,sha256:7c637771bc9f717b8f47b44bb2a61044c3fe83084dca7c3c16102fba0989912d
KCl,0.001,0.965,0.9648376816170002,-0.00016231838299973766,0.00016231838299973766,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.002,0.951,0.9514614995797771,0.00046149957977714706,0.00046149957977714706,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.005,0.927,0.9267643442355525,-0.00023565576444750658,0.00023565576444750658,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.01,0.901,0.901577107251203,0.0005771072512029685,0.0005771072512029685,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.02,0.869,0.8701041103908784,0.0011041103908784322,0.0011041103908784322,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.05,0.816,0.8192745179234171,0.003274517923417153,0.003274517923417153,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.1,0.768,0.775901901819183,0.007901901819182933,0.007901901819182933,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.2,0.717,0.7317875594841765,0.014787559484176538,0.014787559484176538,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.3,0.687,0.7072653263840059,0.0202653263840058,0.0202653263840058,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.4,0.665,0.6909572295798594,0.025957229579859353,0.025957229579859353,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.5,0.649,0.6790540586710989,0.030054058671098893,0.030054058671098893,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.6,0.636,0.6698280775765272,0.03382807757652717,0.03382807757652717,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.7,0.626,0.6623606011763655,0.036360601176365526,0.036360601176365526,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.8,0.617,0.6561118414425177,0.03911184144251767,0.03911184144251767,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.9,0.61,0.6507420174360529,0.04074201743605288,0.04074201743605288,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.0,0.604,0.6460261888371014,0.04202618883710141,0.04202618883710141,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.2,0.594,0.6379825544870503,0.04398255448705035,0.04398255448705035,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.4,0.586,0.6311988237631398,0.045198823763139884,0.045198823763139884,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.6,0.58,0.6252505074443916,0.04525050744439163,0.04525050744439163,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.8,0.576,0.6198915204411126,0.043891520441112664,0.043891520441112664,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,2.0,0.573,0.6149722206587737,0.04197222065877371,0.04197222065877371,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,2.5,0.568,0.6040559766190096,0.03605597661900961,0.03605597661900961,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,3.0,0.568,0.5945897989722639,0.02658979897226399,0.02658979897226399,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
