salt,molality_mol_kg,gamma_pm_m_literature,gamma_pm_m_model,error,abs_error,parameter_fingerprint
KCl,3.5,0.571,0.5862598828961276,0.015259882896127674,0.015259882896127674,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,4.0,0.576,0.5789155350430704,0.0029155350430704052,0.0029155350430704052,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,4.5,0.584,0.5724645389346318,-0.01153546106536818,0.01153546106536818,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,4.803,0.589,0.568959716106141,-0.020040283893858923,0.020040283893858923,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,5.0,0.593,0.5668363681676564,-0.026163631832343603,0.026163631832343603,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
LiBr,0.001,0.965,0.9651265909856819,0.00012659098568190696,0.00012659098568190696,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.002,0.952,0.9520325517862218,3.255178622185717e-05,3.255178622185717e-05,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.005,0.929,0.9281607230439843,-0.000839276956015711,0.000839276956015711,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.01,0.905,0.9043061750039497,-0.0006938249960503073,0.0006938249960503073,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.02,0.877,0.8754037391989733,-0.0015962608010267054,0.0015962608010267054,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.05,0.832,0.8318939241181391,-0.00010607588186084538,0.00010607588186084538,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.1,0.797,0.8001139572128848,0.003113957212884766,0.003113957212884766,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.2,0.767,0.7783469901997211,0.011346990199721074,0.011346990199721074,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.3,0.755,0.77587499611265,0.02087499611264998,0.02087499611264998,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.4,0.752,0.7816864909324308,0.02968649093243081,0.02968649093243081,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.5,0.754,0.7921318661908477,0.03813186619084774,0.03813186619084774,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.6,0.759,0.8055681085787917,0.04656810857879168,0.04656810857879168,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.7,0.767,0.8211269926785061,0.05412699267850607,0.05412699267850607,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.8,0.778,0.8383013909082478,0.06030139090824782,0.06030139090824782,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.9,0.789,0.8567741887796461,0.06777418877964603,0.06777418877964603,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.0,0.803,0.8763372195853601,0.0733372195853601,0.0733372195853601,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.2,0.834,0.9182106049644122,0.08421060496441224,0.08421060496441224,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.4,0.871,0.9632234502197295,0.09222345021972955,0.09222345021972955,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.6,0.913,1.0110209478063417,0.09802094780634163,0.09802094780634163,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.8,0.96,1.0614227360978739,0.10142273609787389,0.10142273609787389,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,2.0,1.012,1.1143454847451237,0.10234548474512373,0.10234548474512373,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,2.5,1.166,1.2576004956754112,0.09160049567541129,0.09160049567541129,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,3.0,1.359,1.4169258822355786,0.057925882235578596,0.057925882235578596,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,3.5,1.598,1.593314403660852,-0.004685596339148113,0.004685596339148113,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,4.0,1.891,1.788037682671689,-0.10296231732831096,0.10296231732831096,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,4.5,2.252,2.0025203690985287,-0.24947963090147107,0.24947963090147107,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,5.0,2.696,2.2382857146447366,-0.4577142853552636,0.4577142853552636,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,5.5,3.242,2.4969284100989393,-0.7450715899010607,0.7450715899010607,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,6.0,3.915,2.780098776535625,-1.1349012234643752,1.1349012234643752,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
NaBr,0.001,0.965,0.964983731067222,-1.626893277795194e-05,1.626893277795194e-05,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.002,0.952,0.9517509176880382,-0.0002490823119617458,0.0002490823119617458,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.005,0.928,0.9274753211044151,-0.0005246788955849402,0.0005246788955849402,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.01,0.903,0.9029729245848966,-2.7075415103383627e-05,2.7075415103383627e-05,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.02,0.873,0.87282909902213,-0.00017090097786998104,0.00017090097786998104,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.05,0.824,0.8258113790351386,0.001811379035138616,0.001811379035138616,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.1,0.783,0.7884981820439821,0.005498182043982114,0.005498182043982114,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.6,0.692,0.7391278913324867,0.04712789133248674,0.04712789133248674,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.7,0.688,0.7429016581546523,0.05490165815465231,0.05490165815465231,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.8,0.687,0.7479267914269709,0.06092679142697088,0.06092679142697088,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,0.9,0.686,0.7538709080181555,0.06787090801815543,0.06787090801815543,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,1.0,0.687,0.7605136864160069,0.07351368641600686,0.07351368641600686,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,1.2,0.691,0.7753320032754378,0.08433200327543788,0.08433200327543788,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,1.4,0.697,0.7916131234334715,0.0946131234334715,0.0946131234334715,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,3.0,0.816,0.9475566043947051,0.13155660439470518,0.13155660439470518,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,3.5,0.871,1.0027126247744214,0.13171262477442136,0.13171262477442136,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,4.0,0.934,1.0607021200102515,0.1267021200102515,0.1267021200102515,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,4.5,1.005,1.1216049852698273,0.11660498526982743,0.11660498526982743,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,5.0,1.083,1.1855194298893872,0.10251942988938723,0.10251942988938723,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,5.5,1.169,1.2525435437610688,0.08354354376106876,0.08354354376106876,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
NaBr,6.0,1.261,1.3227676648033215,0.06176766480332163,0.06176766480332163,sha256:b46a48ee5025e15a2d063b6f3ca4de54e29c33d429b94940913a9d225c78456b
KBr,0.001,0.965,0.964867855229746,-0.0001321447702539169,0.0001321447702539169,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.002,0.952,0.9515190890965187,-0.00048091090348123533,0.00048091090348123533,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.005,0.927,0.9268958734098672,-0.00010412659013281367,0.00010412659013281367,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.01,0.902,0.901815556176233,-0.00018444382376703317,0.00018444382376703317,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.02,0.87,0.870521755467368,0.0005217554673679903,0.0005217554673679903,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.05,0.817,0.8200930781795588,0.003093078179558839,0.003093078179558839,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.1,0.771,0.777182326034561,0.0061823260345610365,0.0061823260345610365,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.2,0.722,0.7336814332680327,0.011681433268032726,0.011681433268032726,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.3,0.693,0.7095943234896886,0.0165943234896887,0.0165943234896887,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.4,0.673,0.693637436794827,0.02063743679482699,0.02063743679482699,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.5,0.658,0.6820388046749309,0.024038804674930914,0.024038804674930914,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.6,0.646,0.6730888408376154,0.027088840837615424,0.027088840837615424,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.7,0.637,0.6658787220791546,0.02887872207915454,0.02887872207915454,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.8,0.629,0.6598743608236534,0.030874360823653357,0.030874360823653357,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,0.9,0.622,0.654739384386597,0.03273938438659696,0.03273938438659696,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,1.0,0.617,0.6502509156089026,0.03325091560890259,0.03325091560890259,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,1.2,0.608,0.6426439747286408,0.03464397472864078,0.03464397472864078,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,1.4,0.602,0.6362761430249023,0.03427614302490234,0.03427614302490234,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,1.6,0.598,0.6307238453186889,0.03272384531868888,0.03272384531868888,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,1.8,0.595,0.6257403512044529,0.030740351204452954,0.030740351204452954,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,2.0,0.593,0.6211748159851425,0.028174815985142487,0.028174815985142487,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,2.5,0.592,0.6110397442810342,0.019039744281034277,0.019039744281034277,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,3.0,0.595,0.6021956919453373,0.0071956919453373125,0.0071956919453373125,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,3.5,0.6,0.594321907269872,-0.0056780927301279815,0.0056780927301279815,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,4.0,0.608,0.5872681537350192,-0.020731846264980813,0.020731846264980813,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,4.5,0.617,0.5809476876625879,-0.03605231233741213,0.03605231233741213,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,5.0,0.626,0.5752984493588723,-0.05070155064112769,0.05070155064112769,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
KBr,5.5,0.637,0.5702684211107859,-0.0667315788892141,0.0667315788892141,sha256:1d498278767a568e2120286f27f98a0b79268c92a68805d85ca30a21f14f3284
