case_id,source_row_id,case_role,T_K,P_Pa,feed_z_methane,expected_phase_count,returned_phase_count,phase_1_x_methane,phase_1_density_mol_m3,phase_1_fraction,phase_2_x_methane,phase_2_density_mol_m3,phase_2_fraction,outcome,search_status,solver_status,numerical_status,physical_status,attempts,major_iterations,best_tpd,lower_bound,upper_bound,held_gap,material_balance_max_abs,recomputed_material_balance_max_abs,pressure_stationarity_max_relative,kkt_stationarity_max_abs,chemical_potential_max_relative,confirmation_succeeded,confirmation_max_difference,search_profiles,sampled_audit_status,sampled_accepted_points,sampled_violating_points,sampled_minimum_gap,sampled_localization_status,total_free_energy_audit_error,phase_count_status,source_x_methane,source_y_methane,x_comparison_allowance,y_comparison_allowance,x_signed_error,y_signed_error,composition_agreement_status,case_decision,parameter_fingerprint,globality_certificate,failure_reason,provider_wheel_sha256,equilibrium_wheel_sha256,source_csv_sha256,tolerance_sha256,case_contract_sha256
may2015-row-001-midpoint,may2015-ch4-c2h6-001,may_coexistence_midpoint,243.58,3949000,0.48815,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,15,4,-0.1549640762627424,6.47076258511698,6.4712745739279685,0.0005119888109881288,1.1102230246251565e-16,,1.6688515197992264e-10,1.5987211554602254e-14,0.05065053051278392,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.3099,0.6664,0.0111,0.0114,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-002-midpoint,may2015-ch4-c2h6-002,may_coexistence_midpoint,203.22,2124000,0.616,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,17,4,-0.33508711043275685,6.0140440765973375,6.014421283789559,0.0003772071922218956,1.1102230246251565e-16,,4.202231375426896e-10,1.7141843500212417e-13,0.04198417834938329,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.3653,0.8667,0.0192,0.0069,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-003-midpoint,may2015-ch4-c2h6-003,may_coexistence_midpoint,213.39,2517000,0.58765,2,,,,,,,,search_exhausted,search_exhausted,not_adjudicated,not_adjudicated,not_adjudicated,114,100,-0.3103691439284857,,6.235156478260666,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.3464,0.8289,0.0156,0.0075,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II major-iteration budget exhausted,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-004-midpoint,may2015-ch4-c2h6-004,may_coexistence_midpoint,223.5,2945000,0.556,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,18,5,-0.2708186765328592,6.2652764009709,6.265626522592534,0.0003501216216337255,0.0,,3.027394477195772e-10,1.5711876244495215e-12,0.04489186226588962,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.3315,0.7805,0.0135,0.0084,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-005-midpoint,may2015-ch4-c2h6-005,may_coexistence_midpoint,233.56,3417000,0.52165,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,21,4,-0.21809729392970734,6.369113928081365,6.369532420280852,0.00041849219948719707,0.0,,2.2005132800973855e-10,5.773159728050814e-14,0.04604772944179979,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.3188,0.7245,0.0117,0.0075,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-006-midpoint,may2015-ch4-c2h6-006,may_coexistence_midpoint,243.6,3942000,0.4871,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,15,4,-0.15575649372811395,6.468947366102325,6.469459859231901,0.0005124931295759083,1.1102230246251565e-16,,1.6557235593937303e-10,1.865174681370263e-14,0.050645438291927636,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.3082,0.6660,0.0111,0.0093,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-007-midpoint,may2015-ch4-c2h6-007,may_coexistence_midpoint,243.6,4831000,0.55095,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,14,4,-0.0006644742134050974,6.641011483385948,6.6415122253425265,0.0005007419565785654,0.0,,3.332978134149351e-10,4.3520742565306136e-14,0.05342655707038568,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.3973,0.7046,0.0117,0.0096,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-008-midpoint,may2015-ch4-c2h6-008,may_coexistence_midpoint,243.6,5395000,0.58825,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,15,4,-0.00202293337497797,6.740607638646041,6.741254026740996,0.0006463880949549861,0.0,,6.603914294892488e-11,9.769962616701378e-15,0.07183581144679882,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.4553,0.7212,0.0120,0.0114,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-009-midpoint,may2015-ch4-c2h6-009,may_coexistence_midpoint,243.61,6080000,0.62475,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,16,5,-0.0008691248929224155,6.835981995972008,6.835981995972008,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.5273,0.7222,0.0126,0.0072,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-010-midpoint,may2015-ch4-c2h6-010,may_coexistence_midpoint,243.61,6469000,0.6471,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,14,5,-0.00028281512228002514,6.89973503552931,6.89973503552931,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.5673,0.7269,0.0147,0.0093,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-011-midpoint,may2015-ch4-c2h6-011,may_coexistence_midpoint,243.61,6691000,0.65725,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,20,7,-3.1370299076412256e-05,6.930503017331489,6.930503017331489,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.5957,0.7188,0.0165,0.0087,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-012-midpoint,may2015-ch4-c2h6-012,may_coexistence_midpoint,243.6,6885000,0.66705,2,1,0.66705,10233.780238752606,1.0,,,,one_phase,stage_i_no_negative,passed,passed,passed,42,0,0.0,,,,,0.0,8.060370308814399e-12,,,False,,held-stage-i-binary-v1,PASS,1001,0,1.963851303798947e-11,PASS,0.0,FAIL,0.6218,0.7123,0.0399,0.0084,,,NOT_EVALUATED_PHASE_COUNT,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-013-midpoint,may2015-ch4-c2h6-013,may_coexistence_midpoint,243.6,6487000,0.64765,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,15,5,-0.0002406610166350437,6.901711614931798,6.901711614931798,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.5754,0.7199,0.0147,0.0075,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-014-midpoint,may2015-ch4-c2h6-014,may_coexistence_midpoint,243.6,5564000,0.5998,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,13,4,-0.0024177058330297208,6.762747642828366,6.762747642828366,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.4741,0.7255,0.0126,0.0054,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-015-midpoint,may2015-ch4-c2h6-015,may_coexistence_midpoint,243.6,5094000,0.56995,2,,,,,,,,scope_exceeded,third_candidate,not_adjudicated,not_adjudicated,not_adjudicated,14,2,-0.0016135858930004937,6.680467756009875,6.680467756009875,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.4255,0.7144,0.0120,0.0084,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II found more than two distinct candidates,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-016-midpoint,may2015-ch4-c2h6-016,may_coexistence_midpoint,243.61,3718000,0.4722,2,,,,,,,,search_exhausted,search_exhausted,not_adjudicated,not_adjudicated,not_adjudicated,109,100,-0.21304610704438517,,6.476338842749083,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1|held-stage-iii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.2865,0.6579,0.0102,0.0084,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II major-iteration budget exhausted,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-017-midpoint,may2015-ch4-c2h6-017,may_coexistence_midpoint,243.6,3675000,0.4661,2,,,,,,,,search_exhausted,search_exhausted,not_adjudicated,not_adjudicated,not_adjudicated,111,100,-0.18848245496198612,6.465540267543518,6.465540267543518,,,,,,,False,,held-stage-i-binary-v1|held-stage-ii-binary-v1,NOT_EVALUATED_NO_HELD_STATE,,,,NOT_EVALUATED_NO_HELD_STATE,,FAIL,0.2812,0.6510,0.0120,0.0135,,,NOT_EVALUATED_NO_HELD_STATE,NON_ADMISSION,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,Stage II major-iteration budget exhausted,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
may2015-row-011-liquid-side,may2015-ch4-c2h6-011,derived_liquid_side,243.61,6691000,0.5627,1,1,0.5627,13227.091964522308,1.0,,,,one_phase,stage_i_no_negative,passed,passed,passed,42,0,-2.9899255183455087e-15,,,,,0.0,1.2921735348143468e-11,,,False,,held-stage-i-binary-v1,PASS,1001,0,7.20016464228479e-08,PASS,8.881784197001252e-16,PASS,0.5957,0.7188,0.0165,0.0087,,,NOT_APPLICABLE_DERIVED_CASE,PASS,sha256:307fcb28d535b94782f3e3caf4012c0c8c0dc87ee4239d6c316de56553543286,not_guaranteed,,17c6735ee117469b13b76b6a669d0b4430071c8eaebdf1e405baefc9adcb838b,8ecd70e0192b76b3a107629201c3e8bf34f2d945ca7c8192f824a0df7c9dde12,5cd1e74925a3c6504f5106dcf911f2cae2d6e99a5133fccc20454d8991bdbc7f,ad744526678355be6ca47cf27ab9ff7ae66b7661c27e36ffe259c5b6295f1016,5aceaada58e3010d4232b8f3cf0f0447e2c174a33bbc54c9be7b8675464aa771
